url_hash_id,client_hash_id,word_count,days_since_update,clicks_last_30d,peak_clicks_30d,log_peak_clicks,target_click_loss,predicted_click_loss,action,reason_code
url_fbfa58bc7cae09a7,client_8ddc46da5414ffd8,3150,79,0.0,37,3.6375861597263857,37.0,28.74230483552346,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_1ba5b820b78b2c41,client_8ddc46da5414ffd8,2901,79,0.0,28,3.367295829986474,28.0,28.3484455010652,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_112708acca98967e,client_73cda7b4e4f265ea,1702,54,0.0,28,3.367295829986474,28.0,28.02413439739637,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_3e34d0bb85dfd5df,client_8ddc46da5414ffd8,2902,58,0.0,26,3.295836866004329,26.0,27.83448678428473,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_de766a155f3dbc91,client_e547b89c05043229,2674,58,0.0,25,3.258096538021482,25.0,27.696818989764385,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_05b4ed6910d12f0e,client_e547b89c05043229,3111,55,0.0,28,3.367295829986474,28.0,27.68907900079924,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_bdd186a721a04478,client_86ebc2f12c01f586,3001,70,0.0,27,3.332204510175204,27.0,27.373166053325892,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_1701d60c3f091eab,client_0fa64a184f18a4a0,3474,91,0.0,27,3.332204510175204,27.0,27.35014077137546,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_9e2b3c5db05a14fd,client_e547b89c05043229,2759,85,0.0,25,3.258096538021482,25.0,27.279296918977693,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_3d6512c4a9109319,client_0fa64a184f18a4a0,2756,91,0.0,25,3.258096538021482,25.0,27.279296918977693,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d648524aa3ffe08f,client_73cda7b4e4f265ea,1843,50,0.0,27,3.332204510175204,27.0,27.075244297724044,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_deb0557dc92caf5b,client_73cda7b4e4f265ea,1938,56,0.0,27,3.332204510175204,27.0,26.786121274637253,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_9242b783ae2d686f,client_0fa64a184f18a4a0,2808,91,0.0,26,3.295836866004329,26.0,26.38316092406127,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_329cbb289ad0f588,client_86ebc2f12c01f586,2727,91,0.0,24,3.2188758248682006,24.0,26.376418389854535,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_f4d9ff4646d5d681,client_23a62021009f63c4,2293,54,0.0,26,3.295836866004329,26.0,26.074447728971684,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d146414964749cc4,client_20259bd6705d81d4,4107,91,0.0,52,3.970291913552122,52.0,25.968686384711905,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_13718a76ea4717cd,client_73cda7b4e4f265ea,2301,69,0.0,26,3.295836866004329,26.0,25.869111712605424,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_1843f6d2971885c1,client_8ddc46da5414ffd8,3196,51,0.0,26,3.295836866004329,26.0,25.654661570132845,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
url_d88bf9907b362f0b,client_8ddc46da5414ffd8,2320,91,0.0,25,3.258096538021482,25.0,25.003564493679157,PRIORITY_REFRESH,STALE_CONTENT_HIGH_LOSS
